ID,coal,wood,Dmin,micro,meso,SSA,pore size,Fe,waste water,Lake,DI,C0,M,pH,temperature,time,rate,Ca,Re
60,1,0,0.45,0.16,0.31,797,2.27,1,0,0,1,300000,500,9.6,25,150,200,10,53.13898333
61,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,1,175,0,14.31353086
62,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,2,175,0,17.38071605
63,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,4,175,0,20.95909877
64,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,6,175,0,24.53748148
65,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,8,175,0,27.60466667
66,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,12,175,0,29.64945679
67,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,25,175,0,31.69424691
68,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,33,175,0,32.71664198
69,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,48,175,0,33.73903704
70,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,3,25,48,175,0,83.32519753
71,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,4,25,48,175,0,69.5228642
72,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,5,25,48,175,0,49.07496296
73,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,6,25,48,175,0,40.89580247
74,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,7,25,48,175,0,38.85101235
75,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,8,25,48,175,0,37.31741975
76,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,9,25,48,175,0,36.29502469
77,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,81000,100,10,25,48,175,0,34.7614321
78,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,20000,100,5,25,48,175,0,84.88435
79,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,50000,100,5,25,48,175,0,62.93864
80,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,100000,100,5,25,48,175,0,36.02409
81,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,150000,100,5,25,48,175,0,26.77652667
82,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,200000,100,5,25,48,175,0,21.11757
83,0,1,0.45,0.277013898,0.67,2450,2.359827518,0,0,0,1,250000,100,5,25,48,175,0,19.04722
84,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,1,150,0,10.76582
85,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,6,150,0,15.73466
86,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,12,150,0,18.21908
87,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,24,150,0,21.53164
88,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,48,150,0,25.67234
89,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,72,150,0,29.81304
