ID,ground water,surface water,Lake,C0,coal,wood,Dmin,Dmax,micro,meso,SSA,pore size,Fe,M,pH,temperature,time,rate,Ca,TOC,Re
54,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,9.6,25,150,200,0,0,28.29478333
55,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,3,25,150,200,10,0,65.56108333
56,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,4,25,150,200,10,0,60.04015
57,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,5,25,150,200,10,0,54.51921667
58,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,6.5,25,150,200,10,0,53.8291
59,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,7.7,25,150,200,10,0,53.13898333
60,0,0,0,300000,1,0,0.45,0.9,0.16,0.31,797,2.27,1,500,9.6,25,150,200,10,0,53.13898333
61,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,1,175,0,0,14.31353086
62,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,2,175,0,0,17.38071605
63,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,4,175,0,0,20.95909877
64,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,6,175,0,0,24.53748148
65,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,8,175,0,0,27.60466667
66,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,12,175,0,0,29.64945679
67,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,25,175,0,0,31.69424691
68,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,33,175,0,0,32.71664198
69,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,48,175,0,0,33.73903704
70,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,3,25,48,175,0,0,83.32519753
